Provincias;Sector económico;Periodo;Total
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T1;17,8
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T4;16,4
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T3;16
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T2;15,2
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T1;14,1
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T4;14,2
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T3;15,1
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T2;16
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T1;16,1
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T4;16,3
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T3;16
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T2;16,6
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T1;16,1
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T4;17,7
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T3;19,1
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T2;17
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T1;15,7
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T4;16,9
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T3;16,6
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T2;16,4
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T1;15,5
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T4;13,8
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T3;11,8
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T2;13,3
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T1;12,7
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T4;12,2
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T3;11
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T2;11,2
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T1;8,8
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T4;8,9
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T3;7,5
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T2;6,6
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T1;7,2
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T4;6
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T3;5,6
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T2;6,3
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T1;4,7
07 Balears, Illes;Agricultura;2025T3;0,5
07 Balears, Illes;Agricultura;2025T2;0,7
07 Balears, Illes;Agricultura;2025T1;0,8
07 Balears, Illes;Agricultura;2024T4;0,6
07 Balears, Illes;Agricultura;2024T3;0,6
07 Balears, Illes;Agricultura;2024T2;1,1
07 Balears, Illes;Agricultura;2024T1;0,7
07 Balears, Illes;Agricultura;2023T4;0,7
07 Balears, Illes;Agricultura;2023T3;0,6
07 Balears, Illes;Agricultura;2023T2;0,3
07 Balears, Illes;Agricultura;2023T1;0,4
07 Balears, Illes;Agricultura;2022T4;0,2
07 Balears, Illes;Agricultura;2022T3;0,6
07 Balears, Illes;Agricultura;2022T2;0,8
07 Balears, Illes;Agricultura;2022T1;1,2
07 Balears, Illes;Agricultura;2021T4;1,5
07 Balears, Illes;Agricultura;2021T3;1
07 Balears, Illes;Agricultura;2021T2;1,3
07 Balears, Illes;Agricultura;2021T1;1,1
07 Balears, Illes;Agricultura;2020T4;1
07 Balears, Illes;Agricultura;2020T3;0,8
07 Balears, Illes;Agricultura;2020T2;0,9
07 Balears, Illes;Agricultura;2020T1;0,8
07 Balears, Illes;Agricultura;2019T4;0,8
07 Balears, Illes;Agricultura;2019T3;0,8
07 Balears, Illes;Agricultura;2019T2;1,5
07 Balears, Illes;Agricultura;2019T1;1,4
07 Balears, Illes;Agricultura;2018T4;1,2
07 Balears, Illes;Agricultura;2018T3;1,4
07 Balears, Illes;Agricultura;2018T2;1,5
07 Balears, Illes;Agricultura;2018T1;1,6
07 Balears, Illes;Agricultura;2017T4;0,9
07 Balears, Illes;Agricultura;2017T3;0,7
07 Balears, Illes;Agricultura;2017T2;0,7
07 Balears, Illes;Agricultura;2017T1;0,6
07 Balears, Illes;Agricultura;2016T4;0,6
07 Balears, Illes;Agricultura;2016T3;0,6
07 Balears, Illes;Agricultura;2016T2;0,8
07 Balears, Illes;Agricultura;2016T1;1
07 Balears, Illes;Agricultura;2015T4;0,7
07 Balears, Illes;Agricultura;2015T3;0,9
07 Balears, Illes;Agricultura;2015T2;1,1
07 Balears, Illes;Agricultura;2015T1;1,2
07 Balears, Illes;Agricultura;2014T4;0,9
07 Balears, Illes;Agricultura;2014T3;1
07 Balears, Illes;Agricultura;2014T2;1
07 Balears, Illes;Agricultura;2014T1;1,3
07 Balears, Illes;Agricultura;2013T4;1,1
07 Balears, Illes;Agricultura;2013T3;0,9
07 Balears, Illes;Agricultura;2013T2;1
07 Balears, Illes;Agricultura;2013T1;0,8
07 Balears, Illes;Agricultura;2012T4;1
07 Balears, Illes;Agricultura;2012T3;0,8
07 Balears, Illes;Agricultura;2012T2;1,1
07 Balears, Illes;Agricultura;2012T1;1,5
07 Balears, Illes;Agricultura;2011T4;1,7
07 Balears, Illes;Agricultura;2011T3;1,3
07 Balears, Illes;Agricultura;2011T2;1,4
07 Balears, Illes;Agricultura;2011T1;1,2
07 Balears, Illes;Agricultura;2010T4;0,9
07 Balears, Illes;Agricultura;2010T3;0,9
07 Balears, Illes;Agricultura;2010T2;1,1
07 Balears, Illes;Agricultura;2010T1;1,2
07 Balears, Illes;Agricultura;2009T4;1,1
07 Balears, Illes;Agricultura;2009T3;1,2
07 Balears, Illes;Agricultura;2009T2;1,3
07 Balears, Illes;Agricultura;2009T1;1,5
07 Balears, Illes;Agricultura;2008T4;1,1
07 Balears, Illes;Agricultura;2008T3;0,9
07 Balears, Illes;Agricultura;2008T2;1,3
07 Balears, Illes;Agricultura;2008T1;1,2
07 Balears, Illes;Industria;2025T3;6
07 Balears, Illes;Industria;2025T2;6,5
07 Balears, Illes;Industria;2025T1;7,3
07 Balears, Illes;Industria;2024T4;7,1
07 Balears, Illes;Industria;2024T3;7,1
07 Balears, Illes;Industria;2024T2;6,5
07 Balears, Illes;Industria;2024T1;5,9
07 Balears, Illes;Industria;2023T4;5,9
07 Balears, Illes;Industria;2023T3;5,2
07 Balears, Illes;Industria;2023T2;5,4
07 Balears, Illes;Industria;2023T1;6,9
07 Balears, Illes;Industria;2022T4;6,8
07 Balears, Illes;Industria;2022T3;6,1
07 Balears, Illes;Industria;2022T2;6,2
07 Balears, Illes;Industria;2022T1;5,6
07 Balears, Illes;Industria;2021T4;7,5
07 Balears, Illes;Industria;2021T3;5,6
07 Balears, Illes;Industria;2021T2;5,7
07 Balears, Illes;Industria;2021T1;5,6
07 Balears, Illes;Industria;2020T4;5,8
07 Balears, Illes;Industria;2020T3;6,3
07 Balears, Illes;Industria;2020T2;5,3
07 Balears, Illes;Industria;2020T1;6,5
07 Balears, Illes;Industria;2019T4;6,2
07 Balears, Illes;Industria;2019T3;5,9
07 Balears, Illes;Industria;2019T2;5,6
07 Balears, Illes;Industria;2019T1;6,1
07 Balears, Illes;Industria;2018T4;6
07 Balears, Illes;Industria;2018T3;5,9
07 Balears, Illes;Industria;2018T2;7,1
07 Balears, Illes;Industria;2018T1;7,8
07 Balears, Illes;Industria;2017T4;8
07 Balears, Illes;Industria;2017T3;6,5
07 Balears, Illes;Industria;2017T2;6,8
07 Balears, Illes;Industria;2017T1;6,6
07 Balears, Illes;Industria;2016T4;6,2
07 Balears, Illes;Industria;2016T3;5,9
07 Balears, Illes;Industria;2016T2;6
07 Balears, Illes;Industria;2016T1;6,7
07 Balears, Illes;Industria;2015T4;6,6
07 Balears, Illes;Industria;2015T3;6,5
07 Balears, Illes;Industria;2015T2;6,1
07 Balears, Illes;Industria;2015T1;6,4
07 Balears, Illes;Industria;2014T4;6,9
07 Balears, Illes;Industria;2014T3;5,7
07 Balears, Illes;Industria;2014T2;4,8
07 Balears, Illes;Industria;2014T1;5
07 Balears, Illes;Industria;2013T4;5,4
07 Balears, Illes;Industria;2013T3;4,6
07 Balears, Illes;Industria;2013T2;4,4
07 Balears, Illes;Industria;2013T1;4,9
07 Balears, Illes;Industria;2012T4;5,8
07 Balears, Illes;Industria;2012T3;5,7
07 Balears, Illes;Industria;2012T2;5,9
07 Balears, Illes;Industria;2012T1;7
07 Balears, Illes;Industria;2011T4;6,6
07 Balears, Illes;Industria;2011T3;6,3
07 Balears, Illes;Industria;2011T2;6,4
07 Balears, Illes;Industria;2011T1;7,1
07 Balears, Illes;Industria;2010T4;7,3
07 Balears, Illes;Industria;2010T3;6,6
07 Balears, Illes;Industria;2010T2;6,8
07 Balears, Illes;Industria;2010T1;6,8
07 Balears, Illes;Industria;2009T4;7,6
07 Balears, Illes;Industria;2009T3;7,2
07 Balears, Illes;Industria;2009T2;6,8
07 Balears, Illes;Industria;2009T1;8,1
07 Balears, Illes;Industria;2008T4;7,9
07 Balears, Illes;Industria;2008T3;7
07 Balears, Illes;Industria;2008T2;7,1
07 Balears, Illes;Industria;2008T1;9,3
07 Balears, Illes;Construcción;2025T3;9,5
07 Balears, Illes;Construcción;2025T2;9,7
07 Balears, Illes;Construcción;2025T1;10
07 Balears, Illes;Construcción;2024T4;9,6
07 Balears, Illes;Construcción;2024T3;10,3
07 Balears, Illes;Construcción;2024T2;8,6
07 Balears, Illes;Construcción;2024T1;11,8
07 Balears, Illes;Construcción;2023T4;9,4
07 Balears, Illes;Construcción;2023T3;8,1
07 Balears, Illes;Construcción;2023T2;9,3
07 Balears, Illes;Construcción;2023T1;8,9
07 Balears, Illes;Construcción;2022T4;10,8
07 Balears, Illes;Construcción;2022T3;8,9
07 Balears, Illes;Construcción;2022T2;10,4
07 Balears, Illes;Construcción;2022T1;10,4
07 Balears, Illes;Construcción;2021T4;10,1
07 Balears, Illes;Construcción;2021T3;9,9
07 Balears, Illes;Construcción;2021T2;10,1
07 Balears, Illes;Construcción;2021T1;9,4
07 Balears, Illes;Construcción;2020T4;9,6
07 Balears, Illes;Construcción;2020T3;9,1
07 Balears, Illes;Construcción;2020T2;10,5
07 Balears, Illes;Construcción;2020T1;11,4
07 Balears, Illes;Construcción;2019T4;11,7
07 Balears, Illes;Construcción;2019T3;10,2
07 Balears, Illes;Construcción;2019T2;10,6
07 Balears, Illes;Construcción;2019T1;10,5
07 Balears, Illes;Construcción;2018T4;8,8
07 Balears, Illes;Construcción;2018T3;7,5
07 Balears, Illes;Construcción;2018T2;8,2
07 Balears, Illes;Construcción;2018T1;9,6
07 Balears, Illes;Construcción;2017T4;9,9
07 Balears, Illes;Construcción;2017T3;8,6
07 Balears, Illes;Construcción;2017T2;9,2
07 Balears, Illes;Construcción;2017T1;10,1
07 Balears, Illes;Construcción;2016T4;9,7
07 Balears, Illes;Construcción;2016T3;8,5
07 Balears, Illes;Construcción;2016T2;8,6
07 Balears, Illes;Construcción;2016T1;8,7
07 Balears, Illes;Construcción;2015T4;8,4
07 Balears, Illes;Construcción;2015T3;8,2
07 Balears, Illes;Construcción;2015T2;8,7
07 Balears, Illes;Construcción;2015T1;9,7
07 Balears, Illes;Construcción;2014T4;8,3
07 Balears, Illes;Construcción;2014T3;7,9
07 Balears, Illes;Construcción;2014T2;7,9
07 Balears, Illes;Construcción;2014T1;8
07 Balears, Illes;Construcción;2013T4;7,4
07 Balears, Illes;Construcción;2013T3;6,9
07 Balears, Illes;Construcción;2013T2;7,4
07 Balears, Illes;Construcción;2013T1;8,1
07 Balears, Illes;Construcción;2012T4;7,5
07 Balears, Illes;Construcción;2012T3;8,4
07 Balears, Illes;Construcción;2012T2;9,3
07 Balears, Illes;Construcción;2012T1;10,3
07 Balears, Illes;Construcción;2011T4;10,1
07 Balears, Illes;Construcción;2011T3;9,9
07 Balears, Illes;Construcción;2011T2;9,4
07 Balears, Illes;Construcción;2011T1;10,5
07 Balears, Illes;Construcción;2010T4;10,8
07 Balears, Illes;Construcción;2010T3;10,1
07 Balears, Illes;Construcción;2010T2;11,6
07 Balears, Illes;Construcción;2010T1;12,3
07 Balears, Illes;Construcción;2009T4;13,9
07 Balears, Illes;Construcción;2009T3;14,3
07 Balears, Illes;Construcción;2009T2;15
07 Balears, Illes;Construcción;2009T1;16,9
07 Balears, Illes;Construcción;2008T4;15,8
07 Balears, Illes;Construcción;2008T3;16,1
07 Balears, Illes;Construcción;2008T2;16,6
07 Balears, Illes;Construcción;2008T1;17,1
07 Balears, Illes;Servicios;2025T3;81,3
07 Balears, Illes;Servicios;2025T2;80,3
07 Balears, Illes;Servicios;2025T1;77,6
07 Balears, Illes;Servicios;2024T4;79,8
07 Balears, Illes;Servicios;2024T3;78,9
07 Balears, Illes;Servicios;2024T2;80,9
07 Balears, Illes;Servicios;2024T1;78,9
07 Balears, Illes;Servicios;2023T4;80,5
07 Balears, Illes;Servicios;2023T3;83,4
07 Balears, Illes;Servicios;2023T2;82
07 Balears, Illes;Servicios;2023T1;80,3
07 Balears, Illes;Servicios;2022T4;78,5
07 Balears, Illes;Servicios;2022T3;81,7
07 Balears, Illes;Servicios;2022T2;78,6
07 Balears, Illes;Servicios;2022T1;77,4
07 Balears, Illes;Servicios;2021T4;75,3
07 Balears, Illes;Servicios;2021T3;77,2
07 Balears, Illes;Servicios;2021T2;74
07 Balears, Illes;Servicios;2021T1;75,5
07 Balears, Illes;Servicios;2020T4;76,7
07 Balears, Illes;Servicios;2020T3;79,5
07 Balears, Illes;Servicios;2020T2;79,5
07 Balears, Illes;Servicios;2020T1;76,8
07 Balears, Illes;Servicios;2019T4;78,1
07 Balears, Illes;Servicios;2019T3;79,5
07 Balears, Illes;Servicios;2019T2;78,4
07 Balears, Illes;Servicios;2019T1;77,1
07 Balears, Illes;Servicios;2018T4;79,9
07 Balears, Illes;Servicios;2018T3;81,8
07 Balears, Illes;Servicios;2018T2;78,7
07 Balears, Illes;Servicios;2018T1;76,5
07 Balears, Illes;Servicios;2017T4;76,6
07 Balears, Illes;Servicios;2017T3;79,7
07 Balears, Illes;Servicios;2017T2;78,3
07 Balears, Illes;Servicios;2017T1;77,3
07 Balears, Illes;Servicios;2016T4;77,1
07 Balears, Illes;Servicios;2016T3;79,1
07 Balears, Illes;Servicios;2016T2;78,4
07 Balears, Illes;Servicios;2016T1;76,7
07 Balears, Illes;Servicios;2015T4;76,9
07 Balears, Illes;Servicios;2015T3;76,9
07 Balears, Illes;Servicios;2015T2;75,6
07 Balears, Illes;Servicios;2015T1;72,3
07 Balears, Illes;Servicios;2014T4;74,1
07 Balears, Illes;Servicios;2014T3;76
07 Balears, Illes;Servicios;2014T2;76,2
07 Balears, Illes;Servicios;2014T1;74,3
07 Balears, Illes;Servicios;2013T4;74,2
07 Balears, Illes;Servicios;2013T3;76,9
07 Balears, Illes;Servicios;2013T2;76,6
07 Balears, Illes;Servicios;2013T1;74,2
07 Balears, Illes;Servicios;2012T4;73,8
07 Balears, Illes;Servicios;2012T3;73,6
07 Balears, Illes;Servicios;2012T2;73,3
07 Balears, Illes;Servicios;2012T1;71,1
07 Balears, Illes;Servicios;2011T4;71,6
07 Balears, Illes;Servicios;2011T3;74,4
07 Balears, Illes;Servicios;2011T2;74
07 Balears, Illes;Servicios;2011T1;71,8
07 Balears, Illes;Servicios;2010T4;72,5
07 Balears, Illes;Servicios;2010T3;74,1
07 Balears, Illes;Servicios;2010T2;72
07 Balears, Illes;Servicios;2010T1;72,2
07 Balears, Illes;Servicios;2009T4;71,2
07 Balears, Illes;Servicios;2009T3;72,9
07 Balears, Illes;Servicios;2009T2;72,1
07 Balears, Illes;Servicios;2009T1;69,4
07 Balears, Illes;Servicios;2008T4;73
07 Balears, Illes;Servicios;2008T3;73
07 Balears, Illes;Servicios;2008T2;72,7
07 Balears, Illes;Servicios;2008T1;70
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;2,6
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;2,7
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;4,4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;3
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;3
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;2,8
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;2,7
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;3,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;2,7
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;3
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;3,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;3,6
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;2,8
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;3,9
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;5,4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;5,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;6,2
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;8,8
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;8,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;6,8
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;4,2
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T2;3,7
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T1;4,6
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T4;3,2
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T3;3,6
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T2;4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T1;4,9
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T4;4,2
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T3;3,4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T2;4,4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T1;4,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T4;4,6
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T3;4,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T2;5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T1;5,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T4;6,4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T3;5,8
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T2;6,2
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T1;6,9
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T4;7,4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T3;7,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T2;8,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T1;10,4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T4;9,8
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T3;9,4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T2;10,1
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T1;11,4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T4;11,9
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T3;10,7
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T2;10,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T1;12
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T4;11,9
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T3;11,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T2;10,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T1;10,1
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T4;9,8
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T3;8,2
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T2;8,9
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T1;9,4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T4;8,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T3;8,4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T2;8,4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T1;7,4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T4;6,3
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T3;4,3
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T2;4,8
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T1;4,1
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T4;2,2
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T3;2,9
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T2;2,4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T1;2,4
08 Barcelona;Agricultura;2025T3;0,4
08 Barcelona;Agricultura;2025T2;0,3
08 Barcelona;Agricultura;2025T1;0,5
08 Barcelona;Agricultura;2024T4;0,3
08 Barcelona;Agricultura;2024T3;0,3
08 Barcelona;Agricultura;2024T2;0,5
08 Barcelona;Agricultura;2024T1;0,3
08 Barcelona;Agricultura;2023T4;0,4
08 Barcelona;Agricultura;2023T3;0,5
08 Barcelona;Agricultura;2023T2;0,3
08 Barcelona;Agricultura;2023T1;0,4
08 Barcelona;Agricultura;2022T4;0,4
08 Barcelona;Agricultura;2022T3;0,4
08 Barcelona;Agricultura;2022T2;0,4
08 Barcelona;Agricultura;2022T1;0,7
08 Barcelona;Agricultura;2021T4;0,3
08 Barcelona;Agricultura;2021T3;0,7
08 Barcelona;Agricultura;2021T2;0,4
08 Barcelona;Agricultura;2021T1;0,2
08 Barcelona;Agricultura;2020T4;0,2
08 Barcelona;Agricultura;2020T3;0,4
08 Barcelona;Agricultura;2020T2;0,3
08 Barcelona;Agricultura;2020T1;0,3
08 Barcelona;Agricultura;2019T4;0,3
08 Barcelona;Agricultura;2019T3;0,3
08 Barcelona;Agricultura;2019T2;0,3
08 Barcelona;Agricultura;2019T1;0,3
08 Barcelona;Agricultura;2018T4;0,4
08 Barcelona;Agricultura;2018T3;0,5
08 Barcelona;Agricultura;2018T2;0,6
08 Barcelona;Agricultura;2018T1;0,5
08 Barcelona;Agricultura;2017T4;0,4
08 Barcelona;Agricultura;2017T3;0,4
08 Barcelona;Agricultura;2017T2;0,4
08 Barcelona;Agricultura;2017T1;0,5
08 Barcelona;Agricultura;2016T4;0,4
08 Barcelona;Agricultura;2016T3;0,4
08 Barcelona;Agricultura;2016T2;0,4
08 Barcelona;Agricultura;2016T1;0,4
08 Barcelona;Agricultura;2015T4;0,3
08 Barcelona;Agricultura;2015T3;0,5
08 Barcelona;Agricultura;2015T2;0,4
08 Barcelona;Agricultura;2015T1;0,5
08 Barcelona;Agricultura;2014T4;0,5
08 Barcelona;Agricultura;2014T3;0,4
08 Barcelona;Agricultura;2014T2;0,5
08 Barcelona;Agricultura;2014T1;0,4
08 Barcelona;Agricultura;2013T4;0,4
08 Barcelona;Agricultura;2013T3;0,5
08 Barcelona;Agricultura;2013T2;0,4
08 Barcelona;Agricultura;2013T1;0,5
08 Barcelona;Agricultura;2012T4;0,4
08 Barcelona;Agricultura;2012T3;0,5
08 Barcelona;Agricultura;2012T2;0,5
08 Barcelona;Agricultura;2012T1;0,4
08 Barcelona;Agricultura;2011T4;0,5
08 Barcelona;Agricultura;2011T3;0,5
08 Barcelona;Agricultura;2011T2;0,3
08 Barcelona;Agricultura;2011T1;0,5
08 Barcelona;Agricultura;2010T4;0,6
08 Barcelona;Agricultura;2010T3;0,9
08 Barcelona;Agricultura;2010T2;0,8
08 Barcelona;Agricultura;2010T1;0,7
08 Barcelona;Agricultura;2009T4;0,6
08 Barcelona;Agricultura;2009T3;0,5
08 Barcelona;Agricultura;2009T2;0,5
08 Barcelona;Agricultura;2009T1;0,5
08 Barcelona;Agricultura;2008T4;0,6
08 Barcelona;Agricultura;2008T3;0,6
08 Barcelona;Agricultura;2008T2;0,7
08 Barcelona;Agricultura;2008T1;0,8
08 Barcelona;Industria;2025T3;16
08 Barcelona;Industria;2025T2;16,2
08 Barcelona;Industria;2025T1;14,7
08 Barcelona;Industria;2024T4;15,5
08 Barcelona;Industria;2024T3;14,8
08 Barcelona;Industria;2024T2;15,2
08 Barcelona;Industria;2024T1;14,8
08 Barcelona;Industria;2023T4;14,6
08 Barcelona;Industria;2023T3;15,6
08 Barcelona;Industria;2023T2;14,9
08 Barcelona;Industria;2023T1;15,9
08 Barcelona;Industria;2022T4;16,4
08 Barcelona;Industria;2022T3;16
