municipality_number,municipality_name,year,number_of_households,average_household_size,number_of_dwellings,average_rent_price
44197,Ródenas,2002,27.0,3.14,28.0,618.0
50227,Romanos,2002,58.0,2.47,60.0,842.0
44198,Royuela,2002,90.0,2.55,94.0,608.0
44199,Rubiales,2002,23.0,2.52,24.0,391.0
44200,Rubielos de la Cérida,2002,22.0,2.67,23.0,365.0
44201,Rubielos de Mora,2002,232.0,2.65,242.0,702.0
50228,Rueda de Jalón,2002,133.0,2.8,139.0,531.0
50229,Ruesca,2002,36.0,2.43,38.0,878.0
50241,Sabiñán,2002,300.0,2.94,313.0,535.0
22199,Sabiñánigo,2002,3519.0,2.44,3667.0,235.0
50230,Sádaba,2002,671.0,2.58,699.0,400.0
22200,Sahún,2002,95.0,2.77,99.0,432.0
22201,Salas Altas,2002,121.0,3.04,126.0,305.0
22202,Salas Bajas,2002,49.0,2.99,51.0,538.0
44203,Salcedillo,2002,2.0,2.98,2.0,362.0
44204,Saldón,2002,14.0,2.46,15.0,420.0
22203,Salillas,2002,40.0,2.83,42.0,795.0
50231,Salillas de Jalón,2002,153.0,2.36,159.0,273.0
22204,Sallent de Gállego,2002,435.0,2.64,453.0,801.0
50232,Salvatierra de Esca,2002,102.0,2.67,106.0,253.0
44205,Samper de Calanda,2002,424.0,2.32,442.0,760.0
50233,Samper del Salz,2002,54.0,2.54,56.0,764.0
44206,San Agustín,2002,42.0,3.18,44.0,491.0
22205,San Esteban de Litera,2002,183.0,3.19,191.0,847.0
22207,San Juan de Plan,2002,55.0,2.63,57.0,282.0
50234,San Martín de la Virgen de Moncayo,2002,128.0,2.32,133.0,841.0
44207,San Martín del Río,2002,113.0,2.44,118.0,596.0
50235,San Mateo de Gállego,2002,828.0,2.65,863.0,472.0
22903,San Miguel del Cinca,2002,283.0,3.2,295.0,468.0
22206,Sangarrén,2002,120.0,2.41,125.0,480.0
22208,Santa Cilia,2002,66.0,3.01,69.0,809.0
50236,Santa Cruz de Grío,2002,96.0,2.4,100.0,645.0
22209,Santa Cruz de la Serós,2002,46.0,3.22,48.0,510.0
50237,Santa Cruz de Moncayo,2002,44.0,2.64,46.0,559.0
44208,Santa Cruz de Nogueras,2002,8.0,2.96,8.0,272.0
44209,Santa Eulalia,2002,451.0,2.61,470.0,390.0
50238,Santa Eulalia de Gállego,2002,47.0,2.86,49.0,373.0
22906,Santa María de Dulcis,2002,90.0,2.46,94.0,463.0
22212,Santaliestra y San Quílez,2002,44.0,2.39,46.0,354.0
50239,Santed,2002,24.0,3.15,25.0,733.0
22213,Sariñena,2002,1261.0,3.17,1314.0,256.0
44210,Sarrión,2002,324.0,3.14,338.0,774.0
50240,Sástago,2002,477.0,2.88,497.0,749.0
22214,Secastilla,2002,52.0,3.04,54.0,800.0
50242,Sediles,2002,45.0,2.34,47.0,297.0
44211,Segura de los Baños,2002,19.0,2.58,20.0,495.0
22215,Seira,2002,81.0,2.57,84.0,861.0
22217,Sena,2002,196.0,2.89,204.0,572.0
22218,Senés de Alcubierre,2002,23.0,2.57,24.0,293.0
44212,Seno,2002,20.0,2.38,21.0,788.0
22220,Sesa,2002,85.0,2.88,89.0,467.0
50243,Sestrica,2002,151.0,3.07,157.0,770.0
22221,Sesué,2002,52.0,2.66,54.0,807.0
50244,Sierra de Luna,2002,109.0,2.41,114.0,817.0
22222,Siétamo,2002,180.0,2.47,188.0,266.0
50245,Sigüés,2002,72.0,2.51,75.0,405.0
44213,Singra,2002,36.0,2.54,38.0,232.0
50246,Sisamón,2002,23.0,2.98,24.0,872.0
50247,Sobradiel,2002,251.0,2.86,262.0,571.0
22223,Sopeira,2002,36.0,2.97,38.0,453.0
50248,Sos del Rey Católico,2002,287.0,2.63,299.0,733.0
22904,Sotonera (La),2002,358.0,3.07,373.0,751.0
50249,Tabuenca,2002,184.0,2.48,192.0,547.0
50250,Talamantes,2002,22.0,2.77,23.0,452.0
22225,Tamarite de Litera,2002,1212.0,3.05,1263.0,283.0
50251,Tarazona,2002,4354.0,2.45,4538.0,635.0
22226,Tardienta,2002,460.0,2.38,479.0,827.0
50252,Tauste,2002,2295.0,3.14,2392.0,372.0
22227,Tella-Sin,2002,104.0,2.61,108.0,692.0
50253,Terrer,2002,204.0,2.94,213.0,541.0
44215,Terriente,2002,75.0,2.31,78.0,753.0
44216,Teruel,2002,10716.0,2.94,11168.0,568.0
50254,Tierga,2002,90.0,2.58,94.0,361.0
22228,Tierz,2002,77.0,2.33,80.0,354.0
50255,Tobed,2002,90.0,2.87,94.0,670.0
22229,Tolva,2002,78.0,2.52,81.0,261.0
44217,Toril y Masegoso,2002,11.0,2.6,11.0,468.0
22230,Torla-Ordesa,2002,135.0,2.35,141.0,604.0
44218,Tormón,2002,15.0,2.46,16.0,870.0
44219,Tornos,2002,95.0,2.55,99.0,703.0
22232,Torralba de Aragón,2002,51.0,2.36,53.0,475.0
50256,Torralba de los Frailes,2002,32.0,3.2,33.0,800.0
44220,Torralba de los Sisones,2002,99.0,2.27,103.0,626.0
50257,Torralba de Ribota,2002,72.0,2.76,75.0,359.0
50258,Torralbilla,2002,33.0,2.37,34.0,630.0
44223,Torre de Arcas,2002,41.0,2.58,43.0,488.0
44224,Torre de las Arcas,2002,12.0,3.01,13.0,833.0
44225,Torre del Compte,2002,76.0,2.45,79.0,851.0
22233,Torre la Ribera,2002,36.0,3.22,38.0,452.0
44227,Torre los Negros,2002,40.0,2.47,42.0,753.0
44221,Torrecilla de Alcañiz,2002,149.0,3.01,155.0,757.0
44222,Torrecilla del Rebollar,2002,64.0,2.81,67.0,363.0
50259,Torrehermosa,2002,36.0,3.1,38.0,395.0
44226,Torrelacárcel,2002,101.0,2.79,105.0,832.0
50260,Torrelapaja,2002,15.0,2.71,16.0,695.0
50261,Torrellas,2002,124.0,2.46,129.0,878.0
44228,Torremocha de Jiloca,2002,68.0,2.44,71.0,421.0
22234,Torrente de Cinca,2002,329.0,3.16,343.0,391.0
44229,Torres de Albarracín,2002,61.0,2.61,64.0,569.0
22235,Torres de Alcanadre,2002,50.0,2.66,52.0,750.0
22236,Torres de Barbués,2002,118.0,3.02,123.0,639.0
50262,Torres de Berrellén,2002,539.0,2.6,562.0,848.0
44230,Torrevelilla,2002,66.0,3.19,69.0,458.0
44231,Torrijas,2002,23.0,2.93,24.0,666.0
50263,Torrijo de la Cañada,2002,128.0,2.87,133.0,688.0
44232,Torrijo del Campo,2002,176.0,3.12,183.0,643.0
50264,Tosos,2002,83.0,2.33,87.0,292.0
44234,Tramacastiel,2002,44.0,2.5,46.0,599.0
44235,Tramacastilla,2002,48.0,2.71,50.0,457.0
22239,Tramaced,2002,38.0,2.52,40.0,512.0
50265,Trasmoz,2002,20.0,2.96,21.0,395.0
50266,Trasobares,2002,65.0,3.17,68.0,608.0
44236,Tronchón,2002,35.0,2.71,36.0,293.0
50267,Uncastillo,2002,343.0,2.61,357.0,413.0
50268,Undués de Lerda,2002,17.0,3.19,18.0,282.0
44237,Urrea de Gaén,2002,217.0,2.71,226.0,383.0
50269,Urrea de Jalón,2002,123.0,2.75,128.0,843.0
50270,Urriés,2002,26.0,2.65,27.0,399.0
50271,Used,2002,114.0,3.15,119.0,425.0
50272,Utebo,2002,4276.0,2.83,4456.0,259.0
44238,Utrillas,2002,1065.0,3.02,1110.0,651.0
50274,Val de San Martín,2002,30.0,3.04,31.0,683.0
44239,Valacloche,2002,8.0,2.6,8.0,867.0
44240,Valbona,2002,74.0,2.7,77.0,621.0
44241,Valdealgorfa,2002,232.0,3.1,242.0,807.0
44243,Valdecuenca,2002,16.0,2.62,17.0,518.0
50273,Valdehorna,2002,18.0,3.14,19.0,253.0
44244,Valdelinares,2002,37.0,3.17,39.0,693.0
44245,Valdeltormo,2002,128.0,2.88,133.0,525.0
44246,Valderrobres,2002,648.0,3.0,675.0,476.0
22242,Valfarta,2002,33.0,3.06,34.0,867.0
44247,Valjunquera,2002,140.0,3.09,146.0,639.0
22243,Valle de Bardají,2002,21.0,2.66,22.0,744.0
22901,Valle de Hecho,2002,426.0,2.33,444.0,770.0
22244,Valle de Lierp,2002,21.0,2.62,22.0,450.0
44249,Vallecillo (El),2002,18.0,3.02,19.0,849.0
50275,Valmadrid,2002,24.0,2.72,25.0,376.0
50276,Valpalmas,2002,61.0,2.99,64.0,458.0
50277,Valtorres,2002,35.0,2.62,36.0,767.0
44250,Veguillas de la Sierra,2002,10.0,2.84,10.0,744.0
22245,Velilla de Cinca,2002,184.0,2.46,192.0,706.0
50278,Velilla de Ebro,2002,80.0,3.01,83.0,797.0
50279,Velilla de Jiloca,2002,41.0,2.84,43.0,505.0
22909,Vencillón,2002,188.0,2.47,196.0,449.0
50280,Vera de Moncayo,2002,181.0,2.55,189.0,472.0
22247,Viacamp y Litera,2002,9.0,2.96,9.0,256.0
22248,Vicién,2002,45.0,2.75,47.0,547.0
50281,Vierlas,2002,42.0,2.5,44.0,351.0
50283,Villadoz,2002,28.0,3.25,29.0,732.0
50284,Villafeliche,2002,83.0,2.94,87.0,328.0
50285,Villafranca de Ebro,2002,220.0,3.22,229.0,366.0
44251,Villafranca del Campo,2002,142.0,2.68,148.0,717.0
44252,Villahermosa del Campo,2002,26.0,2.72,27.0,717.0
50286,Villalba de Perejil,2002,37.0,3.18,39.0,294.0
50287,Villalengua,2002,149.0,2.79,155.0,430.0
22249,Villanova,2002,52.0,2.53,54.0,854.0
22250,Villanúa,2002,131.0,2.71,137.0,398.0
50288,Villanueva de Gállego,2002,1440.0,2.39,1501.0,353.0
50290,Villanueva de Huerva,2002,240.0,2.48,250.0,803.0
50289,Villanueva de Jiloca,2002,46.0,2.28,48.0,692.0
22251,Villanueva de Sigena,2002,225.0,2.32,234.0,432.0
44256,Villanueva del Rebollar de la Sierra,2002,15.0,3.25,16.0,876.0
50291,Villar de los Navarros,2002,63.0,2.51,66.0,285.0
44257,Villar del Cobo,2002,79.0,2.94,82.0,703.0
44258,Villar del Salz,2002,31.0,3.11,32.0,669.0
44260,Villarluengo,2002,74.0,2.81,77.0,699.0
44261,Villarquemado,2002,394.0,2.43,411.0,457.0
50292,Villarreal de Huerva,2002,60.0,2.98,63.0,667.0
50293,Villarroya de la Sierra,2002,227.0,2.85,237.0,361.0
44262,Villarroya de los Pinares,2002,65.0,3.01,68.0,683.0
50294,Villarroya del Campo,2002,27.0,3.01,28.0,368.0
44263,Villastar,2002,105.0,3.23,109.0,334.0
44264,Villel,2002,121.0,2.84,126.0,667.0
50282,Vilueña (La),2002,42.0,2.65,44.0,498.0
44265,Vinaceite,2002,97.0,2.91,101.0,611.0
44266,Visiedo,2002,83.0,2.36,87.0,866.0
50295,Vistabella,2002,13.0,3.06,14.0,690.0
44267,Vivel del Río Martín,2002,37.0,2.39,39.0,317.0
22252,Yebra de Basa,2002,60.0,2.61,63.0,381.0
22253,Yésero,2002,25.0,3.1,26.0,367.0
50296,Zaida (La),2002,206.0,2.85,215.0,533.0
22254,Zaidín,2002,650.0,2.65,677.0,401.0
50297,Zaragoza,2002,226430.0,2.74,235979.0,540.0
44268,Zoma (La),2002,9.0,3.05,9.0,665.0
50298,Zuera,2002,2190.0,2.61,2282.0,712.0
44001,Ababuj,2003,31.0,2.73,32.0,682.0
50001,Abanto,2003,56.0,2.83,59.0,362.0
44002,Abejuela,2003,21.0,2.79,22.0,308.0
22001,Abiego,2003,107.0,2.65,112.0,545.0
22002,Abizanda,2003,51.0,2.57,53.0,848.0
50002,Acered,2003,103.0,2.39,108.0,854.0
22003,Adahuesca,2003,59.0,2.63,62.0,602.0
50003,Agón,2003,81.0,2.43,85.0,729.0
50004,Aguarón,2003,252.0,2.98,263.0,393.0
44003,Aguatón,2003,10.0,2.62,10.0,375.0
44004,Aguaviva,2003,291.0,2.32,304.0,349.0
22004,Agüero,2003,61.0,2.83,64.0,233.0
44005,Aguilar del Alfambra,2003,29.0,2.83,30.0,664.0
50005,Aguilón,2003,94.0,3.12,98.0,551.0
22907,Aínsa-Sobrarbe,2003,611.0,2.83,639.0,281.0
50006,Ainzón,2003,466.0,2.6,487.0,258.0
22006,Aisa,2003,135.0,3.04,141.0,769.0
44006,Alacón,2003,152.0,2.78,159.0,879.0
50007,Aladrén,2003,33.0,2.32,34.0,672.0
50008,Alagón,2003,2102.0,2.81,2197.0,477.0
50009,Alarba,2003,46.0,3.18,48.0,854.0
44007,Alba,2003,95.0,2.64,99.0,878.0
22007,Albalate de Cinca,2003,502.0,2.56,525.0,367.0
44008,Albalate del Arzobispo,2003,917.0,2.4,958.0,877.0
22008,Albalatillo,2003,100.0,2.42,105.0,391.0
44009,Albarracín,2003,390.0,2.68,408.0,379.0
22009,Albelda,2003,320.0,2.85,334.0,906.0
44010,Albentosa,2003,132.0,2.35,138.0,402.0
50010,Alberite de San Juan,2003,32.0,3.19,33.0,306.0
22011,Albero Alto,2003,36.0,3.03,38.0,651.0
22012,Albero Bajo,2003,34.0,2.84,36.0,394.0
22013,Alberuela de Tubo,2003,117.0,3.08,122.0,840.0
50011,Albeta,2003,60.0,2.32,63.0,257.0
50012,Alborge,2003,49.0,2.72,51.0,785.0
44011,Alcaine,2003,24.0,2.92,25.0,566.0
50013,Alcalá de Ebro,2003,95.0,3.07,99.0,801.0
22014,Alcalá de Gurrea,2003,94.0,3.02,98.0,361.0
44012,Alcalá de la Selva,2003,208.0,2.53,217.0,710.0
50014,Alcalá de Moncayo,2003,43.0,3.17,45.0,323.0
22015,Alcalá del Obispo,2003,149.0,2.39,156.0,510.0
22016,Alcampell,2003,278.0,3.12,291.0,327.0
44013,Alcañiz,2003,4495.0,3.2,4698.0,458.0
22017,Alcolea de Cinca,2003,504.0,2.44,527.0,522.0
50015,Alconchel de Ariza,2003,46.0,2.93,48.0,729.0
44014,Alcorisa,2003,1479.0,2.31,1546.0,634.0
22018,Alcubierre,2003,169.0,2.65,177.0,765.0
50016,Aldehuela de Liestos,2003,13.0,2.8,14.0,541.0
22019,Alerre,2003,77.0,2.84,80.0,571.0
50017,Alfajarín,2003,508.0,3.17,531.0,356.0
44016,Alfambra,2003,215.0,2.92,225.0,466.0
50018,Alfamén,2003,549.0,2.73,574.0,883.0
22020,Alfántega,2003,35.0,3.05,37.0,779.0
50019,Alforque,2003,27.0,3.18,28.0,387.0
50020,Alhama de Aragón,2003,502.0,2.29,525.0,737.0
44017,Aliaga,2003,122.0,3.2,128.0,397.0
44021,Allepuz,2003,59.0,2.34,62.0,246.0
44022,Alloza,2003,230.0,3.05,240.0,618.0
44023,Allueva,2003,5.0,2.63,5.0,551.0
50021,Almochuel,2003,21.0,2.35,22.0,800.0
44018,Almohaja,2003,12.0,2.51,13.0,582.0
50022,Almolda (La),2003,226.0,2.89,236.0,770.0
50023,Almonacid de la Cuba,2003,119.0,2.63,124.0,775.0
50024,Almonacid de la Sierra,2003,380.0,2.32,397.0,624.0
22021,Almudévar,2003,809.0,2.85,846.0,493.0
50025,Almunia de Doña Godina (La),2003,2023.0,3.14,2114.0,506.0
22022,Almunia de San Juan,2003,255.0,2.63,267.0,665.0
22023,Almuniente,2003,231.0,2.47,241.0,329.0
44019,Alobras,2003,31.0,2.7,32.0,235.0
50026,Alpartir,2003,260.0,2.31,272.0,468.0
44020,Alpeñés,2003,9.0,3.08,9.0,372.0
22024,Alquézar,2003,103.0,3.06,108.0,557.0
22025,Altorricón,2003,515.0,2.84,538.0,617.0
50027,Ambel,2003,129.0,2.61,135.0,366.0
44024,Anadón,2003,6.0,3.14,6.0,866.0
44025,Andorra,2003,2810.0,2.8,2937.0,770.0
50028,Anento,2003,70.0,3.06,73.0,697.0
22027,Angüés,2003,149.0,2.87,156.0,585.0
50029,Aniñón,2003,280.0,3.03,293.0,664.0
22028,Ansó,2003,185.0,2.86,193.0,792.0
22029,Antillón,2003,58.0,2.68,61.0,409.0
50030,Añón de Moncayo,2003,89.0,3.2,93.0,766.0
22032,Aragüés del Puerto,2003,51.0,2.78,53.0,574.0
50031,Aranda de Moncayo,2003,80.0,2.85,84.0,824.0
50032,Arándiga,2003,185.0,2.48,193.0,772.0
44026,Arcos de las Salinas,2003,48.0,2.88,50.0,840.0
50033,Ardisa,2003,28.0,2.83,29.0,657.0
22035,Arén,2003,151.0,2.45,158.0,269.0
44027,Arens de Lledó,2003,98.0,2.32,102.0,230.0
22036,Argavieso,2003,46.0,2.86,48.0,639.0
44028,Argente,2003,87.0,3.02,91.0,430.0
22037,Arguis,2003,22.0,2.75,23.0,592.0
44029,Ariño,2003,362.0,2.48,378.0,761.0
50034,Ariza,2003,459.0,2.91,480.0,554.0
50035,Artieda,2003,44.0,2.34,46.0,891.0
50036,Asín,2003,41.0,2.68,43.0,358.0
50037,Atea,2003,78.0,2.44,82.0,655.0
50038,Ateca,2003,828.0,2.45,865.0,748.0
22039,Ayerbe,2003,439.0,2.46,459.0,488.0
44031,Azaila,2003,63.0,2.63,66.0,573.0
22040,Azanuy-Alins,2003,74.0,2.33,77.0,600.0
22041,Azara,2003,78.0,2.64,82.0,720.0
22042,Azlor,2003,57.0,2.75,60.0,302.0
50039,Azuara,2003,239.0,2.73,250.0,633.0
44032,Bádenas,2003,6.0,2.77,6.0,711.0
50040,Badules,2003,35.0,3.15,37.0,294.0
22043,Baélls,2003,56.0,2.42,59.0,547.0
44033,Báguena,2003,160.0,2.75,167.0,256.0
50041,Bagüés,2003,18.0,2.47,19.0,759.0
22044,Bailo,2003,115.0,2.33,120.0,862.0
50042,Balconchán,2003,8.0,2.92,8.0,848.0
22045,Baldellou,2003,46.0,2.84,48.0,774.0
22046,Ballobar,2003,320.0,3.12,334.0,517.0
22047,Banastás,2003,77.0,2.8,80.0,573.0
44034,Bañón,2003,52.0,3.21,54.0,557.0
22048,Barbastro,2003,6706.0,2.31,7009.0,576.0
50043,Bárboles,2003,139.0,2.35,145.0,236.0
22049,Barbués,2003,49.0,2.29,51.0,384.0
22050,Barbuñales,2003,47.0,2.45,49.0,817.0
22051,Bárcabo,2003,38.0,2.79,40.0,719.0
50044,Bardallur,2003,97.0,2.88,101.0,683.0
44035,Barrachina,2003,68.0,2.3,71.0,301.0
44036,Bea,2003,12.0,3.04,13.0,483.0
44037,Beceite,2003,197.0,3.08,206.0,481.0
50045,Belchite,2003,613.0,2.56,641.0,860.0
44039,Bello,2003,152.0,2.34,159.0,418.0
50046,Belmonte de Gracián,2003,107.0,2.44,112.0,875.0
44038,Belmonte de San José,2003,61.0,2.37,64.0,341.0
22052,Belver de Cinca,2003,576.0,2.38,602.0,853.0
22053,Benabarre,2003,401.0,2.77,419.0,430.0
22054,Benasque,2003,733.0,2.5,766.0,394.0
22246,Beranuy,2003,42.0,2.58,44.0,231.0
22055,Berbegal,2003,144.0,3.22,151.0,258.0
50047,Berdejo,2003,23.0,2.88,24.0,330.0
44040,Berge,2003,76.0,3.19,79.0,340.0
50048,Berrueco,2003,19.0,2.36,20.0,891.0
44041,Bezas,2003,28.0,2.61,29.0,875.0
50901,Biel,2003,76.0,2.79,79.0,521.0
22057,Bielsa,2003,199.0,2.34,208.0,405.0
22058,Bierge,2003,110.0,2.26,115.0,549.0
22059,Biescas,2003,451.0,2.91,471.0,664.0
50050,Bijuesca,2003,43.0,2.86,45.0,890.0
22060,Binaced,2003,641.0,2.66,670.0,262.0
22061,Binéfar,2003,3153.0,2.74,3296.0,580.0
50051,Biota,2003,443.0,2.66,463.0,249.0
22062,Bisaurri,2003,103.0,2.29,108.0,510.0
22063,Biscarrués,2003,89.0,2.58,93.0,612.0
50052,Bisimbre,2003,49.0,2.47,51.0,425.0
44042,Blancas,2003,75.0,2.37,78.0,627.0
22064,Blecua y Torres,2003,59.0,3.21,62.0,457.0
44043,Blesa,2003,48.0,2.87,50.0,343.0
22066,Boltaña,2003,281.0,2.98,294.0,270.0
22067,Bonansa,2003,38.0,2.56,40.0,415.0
50053,Boquiñeni,2003,377.0,2.64,394.0,674.0
22068,Borau,2003,31.0,2.49,32.0,343.0
50054,Bordalba,2003,39.0,2.39,41.0,507.0
44044,Bordón,2003,55.0,2.45,57.0,818.0
50055,Borja,2003,1419.0,3.04,1483.0,269.0
50056,Botorrita,2003,159.0,2.93,166.0,903.0
50057,Brea de Aragón,2003,716.0,2.79,748.0,475.0
44045,Bronchales,2003,176.0,2.72,184.0,251.0
22069,Broto,2003,165.0,3.17,172.0,759.0
50058,Bubierca,2003,39.0,2.38,41.0,616.0
44046,Bueña,2003,34.0,2.54,36.0,735.0
50059,Bujaraloz,2003,387.0,2.6,404.0,661.0
50060,Bulbuente,2003,80.0,3.03,84.0,536.0
44047,Burbáguena,2003,92.0,3.23,96.0,590.0
50061,Bureta,2003,124.0,2.49,130.0,292.0
50062,Burgo de Ebro (El),2003,543.0,3.12,568.0,559.0
50063,Buste (El),2003,32.0,3.11,33.0,340.0
50064,Cabañas de Ebro,2003,208.0,2.48,217.0,380.0
50065,Cabolafuente,2003,27.0,2.64,28.0,816.0
44048,Cabra de Mora,2003,42.0,2.62,44.0,790.0
50066,Cadrete,2003,597.0,3.21,624.0,547.0
44049,Calaceite,2003,475.0,2.44,496.0,840.0
44050,Calamocha,2003,1381.0,3.04,1443.0,715.0
44051,Calanda,2003,1376.0,2.59,1438.0,363.0
50067,Calatayud,2003,6469.0,2.98,6762.0,317.0
50068,Calatorao,2003,1118.0,2.67,1169.0,577.0
50069,Calcena,2003,25.0,2.8,26.0,401.0
22072,Caldearenas,2003,86.0,3.07,90.0,897.0
50070,Calmarza,2003,29.0,3.0,30.0,554.0
44052,Calomarde,2003,23.0,3.12,24.0,247.0
44053,Camañas,2003,64.0,2.32,67.0,753.0
44054,Camarena de la Sierra,2003,57.0,2.91,60.0,461.0
44055,Camarillas,2003,43.0,2.39,45.0,828.0
44056,Caminreal,2003,286.0,2.66,299.0,291.0
50071,Campillo de Aragón,2003,63.0,2.79,66.0,232.0
22074,Campo,2003,115.0,2.64,120.0,678.0
22075,Camporrélls,2003,87.0,2.76,91.0,525.0
22076,Canal de Berdún,2003,124.0,3.23,130.0,823.0
22077,Candasnos,2003,205.0,2.39,214.0,479.0
22078,Canfranc,2003,182.0,2.92,190.0,636.0
44059,Cantavieja,2003,272.0,2.65,284.0,668.0
44060,Cañada de Benatanduz,2003,24.0,2.45,25.0,328.0
44061,Cañada de Verich (La),2003,44.0,2.42,46.0,443.0
44062,Cañada Vellida,2003,17.0,3.07,18.0,395.0
44063,Cañizar del Olivar,2003,37.0,3.15,39.0,279.0
22079,Capdesaso,2003,53.0,3.16,55.0,715.0
22080,Capella,2003,120.0,3.22,125.0,693.0
50072,Carenas,2003,95.0,2.48,99.0,275.0
50073,Cariñena,2003,1307.0,2.61,1366.0,632.0
22081,Casbas de Huesca,2003,101.0,2.92,106.0,266.0
44064,Cascante del Río,2003,41.0,2.76,43.0,792.0
50074,Caspe,2003,2842.0,2.67,2971.0,433.0
50075,Castejón de Alarba,2003,38.0,2.63,40.0,292.0
50076,Castejón de las Armas,2003,37.0,2.86,39.0,792.0
22083,Castejón de Monegros,2003,246.0,2.83,257.0,844.0
22084,Castejón de Sos,2003,279.0,2.43,292.0,391.0
44065,Castejón de Tornos,2003,34.0,2.67,36.0,595.0
50077,Castejón de Valdejasa,2003,113.0,2.8,118.0,299.0
22082,Castejón del Puente,2003,149.0,2.81,156.0,864.0
44066,Castel de Cabra,2003,63.0,2.5,66.0,873.0
22085,Castelflorite,2003,44.0,3.0,46.0,525.0
44070,Castellar (El),2003,38.0,2.32,40.0,685.0
44071,Castellote,2003,308.0,2.61,322.0,801.0
44067,Castelnou,2003,36.0,3.01,38.0,563.0
44068,Castelserás,2003,296.0,2.81,309.0,752.0
22086,Castiello de Jaca,2003,72.0,2.51,75.0,379.0
22087,Castigaleu,2003,38.0,2.98,40.0,827.0
50078,Castiliscar,2003,137.0,2.81,143.0,587.0
22088,Castillazuelo,2003,73.0,3.05,76.0,647.0
22089,Castillonroy,2003,139.0,2.97,145.0,378.0
44074,Cedrillas,2003,181.0,2.86,189.0,601.0
44075,Celadas,2003,153.0,2.74,160.0,577.0
44076,Cella,2003,1174.0,2.39,1227.0,300.0
44077,Cerollera (La),2003,46.0,2.51,48.0,358.0
50079,Cervera de la Cañada,2003,123.0,2.68,129.0,643.0
50080,Cerveruela,2003,9.0,2.85,9.0,533.0
50081,Cetina,2003,250.0,2.76,261.0,678.0
22094,Chalamera,2003,58.0,2.57,61.0,390.0
22095,Chía,2003,47.0,2.3,49.0,812.0
22096,Chimillas,2003,89.0,2.75,93.0,476.0
50092,Chiprana,2003,151.0,2.54,158.0,266.0
50093,Chodes,2003,39.0,3.0,41.0,560.0
50082,Cimballa,2003,68.0,2.28,71.0,505.0
50083,Cinco Olivas,2003,43.0,2.83,45.0,602.0
50084,Clarés de Ribota,2003,32.0,3.19,33.0,707.0
50085,Codo,2003,96.0,2.44,100.0,663.0
44080,Codoñera (La),2003,124.0,2.72,130.0,428.0
50086,Codos,2003,121.0,2.34,126.0,531.0
22090,Colungo,2003,48.0,2.89,50.0,750.0
50087,Contamina,2003,20.0,2.74,21.0,338.0
44082,Corbalán,2003,35.0,2.64,37.0,599.0
44084,Cortes de Aragón,2003,43.0,2.72,45.0,246.0
44085,Cosa,2003,31.0,3.12,32.0,257.0
50088,Cosuenda,2003,161.0,2.46,168.0,310.0
44086,Cretas,2003,270.0,2.29,282.0,454.0
44087,Crivillén,2003,37.0,3.13,39.0,860.0
50089,Cuarte de Huerva,2003,795.0,2.83,831.0,264.0
44088,Cuba (La),2003,17.0,3.23,18.0,752.0
50090,Cubel,2003,72.0,2.86,75.0,724.0
44089,Cubla,2003,14.0,3.12,15.0,669.0
44090,Cucalón,2003,32.0,2.67,33.0,872.0
50091,Cuerlas (Las),2003,33.0,3.02,34.0,411.0
44092,Cuervo (El),2003,36.0,3.19,38.0,800.0
44093,Cuevas de Almudén,2003,37.0,2.83,39.0,483.0
44094,Cuevas Labradas,2003,62.0,2.43,65.0,243.0
50094,Daroca,2003,833.0,2.52,871.0,429.0
50095,Ejea de los Caballeros,2003,6605.0,2.46,6904.0,308.0
44096,Ejulve,2003,89.0,2.49,93.0,751.0
50096,Embid de Ariza,2003,39.0,2.65,41.0,348.0
50098,Encinacorba,2003,112.0,2.78,117.0,678.0
50099,Épila,2003,1426.0,2.84,1490.0,751.0
50100,Erla,2003,167.0,2.66,175.0,690.0
50101,Escatrón,2003,416.0,2.86,435.0,518.0
44097,Escorihuela,2003,85.0,2.34,89.0,565.0
44099,Escucha,2003,469.0,2.35,490.0,865.0
22099,Esplús,2003,301.0,2.43,315.0,652.0
22102,Estada,2003,67.0,2.78,70.0,613.0
22103,Estadilla,2003,359.0,2.47,375.0,291.0
44100,Estercuel,2003,125.0,2.53,131.0,625.0
22105,Estopiñán del Castillo,2003,86.0,2.64,90.0,840.0
50102,Fabara,2003,393.0,3.05,411.0,586.0
22106,Fago,2003,15.0,2.26,16.0,406.0
22107,Fanlo,2003,62.0,2.92,65.0,544.0
50104,Farlete,2003,155.0,2.91,162.0,391.0
50105,Fayón,2003,125.0,3.05,131.0,473.0
50106,Fayos (Los),2003,57.0,3.14,60.0,804.0
44101,Ferreruela de Huerva,2003,34.0,2.28,36.0,577.0
50107,Figueruelas,2003,448.0,2.42,468.0,761.0
22109,Fiscal,2003,80.0,3.12,84.0,796.0
50108,Fombuena,2003,6.0,2.65,6.0,408.0
44102,Fonfría,2003,10.0,2.85,10.0,727.0
22110,Fonz,2003,371.0,2.91,388.0,772.0
22111,Foradada del Toscar,2003,75.0,2.93,78.0,692.0
44103,Formiche Alto,2003,63.0,3.15,66.0,439.0
44105,Fórnoles,2003,31.0,3.23,32.0,363.0
44106,Fortanete,2003,63.0,2.95,66.0,697.0
44107,Foz-Calanda,2003,104.0,2.54,109.0,824.0
