Lugar de residencia;Number_of_households;Average_household_size;Number_of_dwellings;Average_rent_price
50276 Valpalmas;53;2.9;57;547
50277 Valtorres;45;2.54;48;916
44250 Veguillas de la Sierra;10;2.75;11;888
22245 Velilla de Cinca;189;2.38;202;843
50278 Velilla de Ebro;87;2.92;93;951
50279 Velilla de Jiloca;37;2.75;40;603
22909 Vencillón;196;2.39;210;536
50280 Vera de Moncayo;169;2.48;181;564
22247 Viacamp y Litera;17;2.87;18;305
22248 Vicién;46;2.67;49;652
50281 Vierlas;43;2.43;46;419
50283 Villadoz;26;3.15;28;874
50284 Villafeliche;70;2.86;75;392
50285 Villafranca de Ebro;268;3.12;287;437
44251 Villafranca del Campo;135;2.6;144;856
44252 Villahermosa del Campo;38;2.64;41;856
50286 Villalba de Perejil;36;3.09;39;351
50287 Villalengua;144;2.71;154;513
50903 Villamayor de Gállego;1003;2.88;1073;505
22249 Villanova;63;2.46;67;1020
22250 Villanúa;188;2.62;201;475
50288 Villanueva de Gállego;1886;2.32;2018;422
50290 Villanueva de Huerva;234;2.4;250;958
50289 Villanueva de Jiloca;31;2.22;33;826
22251 Villanueva de Sigena;228;2.25;244;516
44256 Villanueva del Rebollar de la Sierra;17;3.15;18;1046
50291 Villar de los Navarros;49;2.44;52;340
44257 Villar del Cobo;73;2.86;78;839
44258 Villar del Salz;28;3.01;30;799
44260 Villarluengo;69;2.73;74;834
44261 Villarquemado;400;2.35;428;546
50292 Villarreal de Huerva;70;2.89;75;796
50293 Villarroya de la Sierra;205;2.76;219;430
44262 Villarroya de los Pinares;61;2.92;65;815
50294 Villarroya del Campo;26;2.92;28;439
44263 Villastar;144;3.13;154;399
44264 Villel;133;2.75;142;796
50282 Vilueña (La);44;2.57;47;595
44265 Vinaceite;111;2.82;119;729
44266 Visiedo;65;2.29;70;1034
50295 Vistabella;17;2.97;18;824
44267 Vivel del Río Martín;37;2.32;40;378
22252 Yebra de Basa;61;2.53;65;454
22253 Yésero;24;3.0;26;438
50296 Zaida (La);184;2.76;197;637
22254 Zaidín;665;2.57;712;478
50297 Zaragoza;253805;2.66;271571;644
44268 Zoma (La);7;2.96;7;794
50298 Zuera;2968;2.53;3176;850
