Lugar de residencia;Number_of_households;Average_household_size;Number_of_dwellings;Average_rent_price
50279 Velilla de Jiloca;42;2.88;43;442
22909 Vencillón;191;2.51;197;393
50280 Vera de Moncayo;185;2.6;191;414
22247 Viacamp y Litera;11;3.0;11;224
22248 Vicién;42;2.79;43;479
50281 Vierlas;41;2.54;42;307
50283 Villadoz;26;3.3;27;641
50284 Villafeliche;79;2.99;81;287
50285 Villafranca de Ebro;206;3.27;212;321
44251 Villafranca del Campo;149;2.73;153;628
44252 Villahermosa del Campo;25;2.76;26;628
50286 Villalba de Perejil;36;3.23;37;257
50287 Villalengua;153;2.84;158;376
22249 Villanova;40;2.57;41;748
22250 Villanúa;121;2.75;125;348
50288 Villanueva de Gállego;1177;2.43;1212;309
50290 Villanueva de Huerva;234;2.52;241;703
50289 Villanueva de Jiloca;50;2.32;52;606
22251 Villanueva de Sigena;211;2.35;217;378
44256 Villanueva del Rebollar de la Sierra;15;3.3;15;767
50291 Villar de los Navarros;58;2.55;60;250
44257 Villar del Cobo;77;2.99;79;615
44258 Villar del Salz;35;3.16;36;586
44260 Villarluengo;72;2.86;74;612
44261 Villarquemado;408;2.46;420;400
50292 Villarreal de Huerva;62;3.03;64;584
50293 Villarroya de la Sierra;245;2.89;252;316
44262 Villarroya de los Pinares;66;3.06;68;598
50294 Villarroya del Campo;29;3.06;30;322
44263 Villastar;105;3.28;108;293
44264 Villel;114;2.88;117;584
50282 Vilueña (La);36;2.7;37;436
44265 Vinaceite;103;2.96;106;535
44266 Visiedo;88;2.4;91;758
50295 Vistabella;11;3.11;11;604
44267 Vivel del Río Martín;39;2.43;40;277
22252 Yebra de Basa;61;2.65;63;333
22253 Yésero;19;3.15;20;321
50296 Zaida (La);212;2.89;218;467
22254 Zaidín;625;2.7;644;351
50297 Zaragoza;217038;2.78;223549;472
44268 Zoma (La);11;3.1;11;582
50298 Zuera;2039;2.65;2100;624
